gene,gene_type,log2FC_g0_minus_g1,t,p,abs_t
RN7SKP55,misc_RNA,-4.3892155,-42.867535,0.0,42.867535
EMD,protein_coding,2.4826875,42.825375,0.0,42.825375
RPS2P46,processed_pseudogene,2.6711485,42.732513,0.0,42.732513
AC010343.1,processed_pseudogene,3.137468,42.674164,0.0,42.674164
SH3BGRL3,protein_coding,2.9409995,42.630276,0.0,42.630276
ZBTB20,protein_coding,-3.8042881,-42.58228,0.0,42.58228
RN7SL483P,misc_RNA,-3.3262844,-42.58025,0.0,42.58025
RN7SL263P,misc_RNA,-2.8289597,-42.519592,0.0,42.519592
CCDC124,protein_coding,2.7885342,42.3206,0.0,42.3206
SNORA28,snoRNA,-3.7731018,-42.09656,0.0,42.09656
RN7SL11P,misc_RNA,-2.5360918,-42.01856,0.0,42.01856
AC092809.3,processed_pseudogene,2.3516612,41.963837,0.0,41.963837
RN7SL451P,misc_RNA,-3.1820068,-41.95206,0.0,41.95206
H2BC8,protein_coding,-4.7036605,-41.949715,0.0,41.949715
POLR3K,protein_coding,2.118815,41.94308,0.0,41.94308
RN7SL7P,misc_RNA,-4.130451,-41.8325,0.0,41.8325
PRKACA,protein_coding,2.7357705,41.812386,0.0,41.812386
SF3B4,protein_coding,2.631847,41.77422,0.0,41.77422
RAB11B,protein_coding,2.8424644,41.773514,0.0,41.773514
RN7SKP214,misc_RNA,-2.2536356,-41.552856,0.0,41.552856
EIF1,protein_coding,1.9506159,41.387794,0.0,41.387794
RN7SKP243,misc_RNA,-2.510885,-41.293728,0.0,41.293728
AL732366.2,snoRNA,-3.692131,-41.140347,0.0,41.140347
RPS28P7,processed_pseudogene,3.6166363,41.12862,0.0,41.12862
RNU6-9,snRNA,-4.3835783,-41.12801,0.0,41.12801
RN7SL47P,misc_RNA,-3.9902954,-41.030178,0.0,41.030178
BRI3,protein_coding,2.2427673,40.81528,0.0,40.81528
MT-RNR2,Mt_rRNA,4.0851154,40.675877,0.0,40.675877
Metazoa_SRP,misc_RNA,-2.0748987,-40.587624,0.0,40.587624
HIGD2A,protein_coding,2.2511983,40.53326,0.0,40.53326
MTND4LP30,processed_pseudogene,2.9129646,40.49018,0.0,40.49018
LAMTOR5,protein_coding,2.4729466,40.488503,0.0,40.488503
RN7SL308P,misc_RNA,-2.4005158,-40.479607,0.0,40.479607
USB1,protein_coding,2.3437402,40.459953,0.0,40.459953
RN7SL792P,misc_RNA,-3.915457,-40.285763,0.0,40.285763
RNVU1-27,snRNA,-4.568101,-40.280968,0.0,40.280968
EIF5AL1,protein_coding,1.9878535,40.17444,0.0,40.17444
SNORA38,snoRNA,-3.6481526,-40.143703,0.0,40.143703
OTUB1,protein_coding,1.7726431,40.107258,0.0,40.107258
RN7SL838P,misc_RNA,-4.1759853,-40.050137,0.0,40.050137
ZNF580,protein_coding,2.5784128,40.045326,0.0,40.045326
Y_RNA,misc_RNA,-3.6069286,-40.031662,0.0,40.031662
COX6A1P2,processed_pseudogene,2.5980337,40.031013,0.0,40.031013
RNA5SP44,rRNA_pseudogene,-3.7718801,-40.01253,0.0,40.01253
AC024293.1,processed_pseudogene,2.8201957,39.976875,0.0,39.976875
MSRB1,protein_coding,2.1020951,39.9591,0.0,39.9591
