sample_id,cluster_k2,frac_nonpolyA,frac_histone,frac_mito
9de49e43-3b26-44a9-8d90-e7d1e9cb4c73,1,0.43498275,0.014306411,0.010733809
9e09a872-f5f7-4cc1-bb08-07045fcd0c28,1,0.40610176,0.05578505,0.005358935
9f962dec-eac6-423c-a6ba-22d96165c616,0,0.0020803516,0.00065633655,0.16685317
9fefe100-9765-4b8a-8468-51df066f0f0c,0,0.0029497512,0.0008954667,0.20670982
a0910cd1-f12f-4215-bd3a-db593c810dc2,1,0.62550914,0.049397457,0.0040708054
a0cfa49e-93dd-48c9-8a9a-c3dfdb081ae4,0,0.0018299017,0.00063278177,0.18130535
a1de7a70-a829-4491-92ab-8db44391ba19,1,0.749551,0.017191503,0.0025852171
a4e0b059-6e1e-4e90-b55a-4e043e6ed051,0,0.0022870188,0.00082958,0.23388691
a6a0d0d7-9aea-4403-b5c1-c4f2d420059f,1,0.62022007,0.024861528,0.0103626475
a6d109ab-c352-463e-a786-ea1ad30f78cf,1,0.5535492,0.025941567,0.0024904376
a6df72e4-5522-4711-8255-c9d6ff860f40,1,0.34849182,0.04535269,0.00952837
a8050792-d0f5-4b8f-aea2-0a303f40b1ca,0,0.07371024,0.0051914034,0.32781553
a9b55a15-9678-4a04-9041-8e2f5a2b14f1,1,0.58258957,0.025570836,0.005931113
aa1c5f7f-f66e-4e92-91fb-a8cd0a6ba463,1,0.41798002,0.00828673,0.009777934
aab4bee0-b7a4-4671-b7e3-e11f11abe0e7,0,0.0041891597,0.0020083587,0.28349924
ab2b399a-d267-49df-8327-4e9529b26a38,1,0.81979644,0.009346135,0.0030058222
abe6bb88-6bf3-41f2-897e-073edf2ebc33,1,0.64880836,0.017889807,0.007130299
af0700ee-8602-4f6c-b104-dd4d19da99a8,1,0.599229,0.014268491,0.0061117206
b11f8af1-b2a1-474c-a6d7-e28fc0df6885,1,0.7735032,0.046292946,0.0023734574
b134958f-ae1e-4309-9cfc-16b443ab10c8,0,0.0020966278,0.0008925202,0.1877039
b18fea3f-d240-4f38-b1c0-5b8cd2ac6d38,1,0.6184313,0.02306285,0.013473052
b198a226-f734-46c8-93db-0914f0fa6805,0,0.003206551,0.00086355425,0.14885114
b21a2a30-3ff8-482f-add4-f4eea1204b87,1,0.7350289,0.00827541,0.0046045445
b44a40d4-3233-4b45-b0b3-799823970345,1,0.56921965,0.007981601,0.00839553
b45c00da-6d61-4b10-befa-dc1123f955a9,0,0.0022321064,0.0010254955,0.045555044
b4805b8a-7cb5-4fcb-88c8-8e4d17020873,0,0.00355789,0.0011583905,0.2298404
b4a1254d-9975-4cc8-88ed-8ad37ac0af82,1,0.45530885,0.022189632,0.011296872
b5402a87-05a5-421f-be4c-469c34e4bb81,0,0.002828101,0.0012615069,0.40563226
b556f213-9004-45b1-ab97-09cbac4406c4,1,0.49494419,0.04005199,0.008380438
b5a77ad0-9041-4392-afde-ff98f1321c97,1,0.61597717,0.029739907,0.00975886
b7a4bdef-c538-4f6f-9892-b21620ff02bc,1,0.46995744,0.0063967262,0.012134028
bc80aba0-0e0f-4177-85ca-73be517be7b0,0,0.0021950533,0.00058385707,0.2157676
bd011c84-2d5f-4d9d-97c6-4ed6ad1cf044,1,0.71101993,0.014213019,0.0019447906
bdd0d102-23f1-4b2d-9080-4eb1c933ddd7,0,0.0027443517,0.0009166289,0.27828583
bef48b88-125f-4087-b4be-02c996ecc3d3,1,0.5182901,0.012052335,0.016636884
bfbd4b8b-d34e-4ad2-a30b-6465d61ddf98,1,0.47629902,0.008788749,0.007090466
c0b1e5a6-3308-43c6-9e76-feda9f67c1a0,0,0.0047480525,0.0010258076,0.11132461
c106d702-1803-4226-a120-f43bc28ae11c,1,0.46900746,0.013234166,0.013050763
