variant,gene_set,n_pcs,algorithm,k,silhouette,calinski_harabasz,davies_bouldin,batch_ARI,BioValidity_ARI,BioValidity_NMI,min_cluster_size,size_balance,cluster_sizes
V1,MAD_1000_PC,20,GMM,3,0.2871,298.2,1.9106,0.7362,0.0313,0.0603,53,0.376,"141,134,53"
V1,MAD_1000_PC,20,GMM,4,0.1119,220.2,2.2781,0.5579,0.0607,0.0882,53,0.396,"53,82,134,59"
V1,MAD_1000_PC,20,GMM,7,0.1417,158.5,2.0198,0.3357,0.0529,0.1157,17,0.181,"47,54,46,94,32,17,38"
V1,MAD_1000_PC,20,Spectral,3,0.3389,351.0,1.3773,0.6761,0.0186,0.0294,90,0.638,"141,97,90"
V1,MAD_1000_PC,20,Spectral,4,0.2018,267.8,1.693,0.5153,0.0495,0.0698,46,0.474,"95,90,97,46"
V1,MAD_1000_PC,20,Spectral,5,0.1711,216.0,1.8336,0.4294,0.1052,0.1465,42,0.442,"95,46,89,42,56"
V1,MAD_1000_PC,20,Spectral,6,0.1445,181.9,1.9631,0.3516,0.1423,0.203,39,0.438,"60,56,39,89,42,42"
V1,MAD_1000_PC,20,Spectral,7,0.1276,161.5,2.0023,0.3008,0.1335,0.2367,30,0.39,"39,30,77,60,42,38,42"
V1,MAD_2000_PC,5,KMeans,3,0.3942,420.6,1.1148,0.6772,0.0273,0.0399,87,0.617,"87,141,100"
V1,MAD_2000_PC,5,KMeans,4,0.2863,348.9,1.316,0.5032,0.0619,0.0781,55,0.55,"86,87,55,100"
V1,MAD_2000_PC,5,KMeans,5,0.2523,299.7,1.3987,0.3941,0.0993,0.1401,56,0.659,"56,63,85,59,65"
V1,MAD_2000_PC,5,KMeans,6,0.2274,264.2,1.4295,0.328,0.1237,0.1784,38,0.594,"51,63,52,64,38,60"
V1,MAD_2000_PC,5,KMeans,7,0.2138,242.0,1.4101,0.2783,0.135,0.2032,36,0.643,"53,56,39,50,49,45,36"
V1,MAD_2000_PC,5,Ward,3,0.3769,401.0,1.1811,0.6857,0.0307,0.046,77,0.546,"141,110,77"
V1,MAD_2000_PC,5,Ward,4,0.2483,319.4,1.4614,0.5029,0.0717,0.087,69,0.627,"110,69,77,72"
V1,MAD_2000_PC,5,Ward,5,0.213,271.5,1.515,0.4003,0.1054,0.1462,40,0.519,"77,69,70,72,40"
V1,MAD_2000_PC,5,Ward,6,0.1952,237.3,1.5587,0.3477,0.1304,0.1883,32,0.444,"69,72,70,45,40,32"
V1,MAD_2000_PC,5,Ward,7,0.1884,215.1,1.4695,0.312,0.1497,0.228,20,0.278,"72,45,70,49,40,32,20"
V1,MAD_2000_PC,5,GMM,3,0.3954,343.2,1.1175,0.8412,0.037,0.0831,44,0.235,"187,44,97"
V1,MAD_2000_PC,5,GMM,4,0.2621,328.7,1.3793,0.5114,0.0656,0.0985,48,0.505,"92,93,95,48"
V1,MAD_2000_PC,5,GMM,5,0.2259,262.2,1.4802,0.4559,0.0707,0.1102,18,0.191,"18,94,66,93,57"
V1,MAD_2000_PC,5,GMM,6,0.1673,227.8,1.7463,0.3518,0.082,0.1372,26,0.317,"82,26,43,62,55,60"
V1,MAD_2000_PC,5,GMM,7,0.1734,208.7,1.7125,0.3136,0.0859,0.1641,16,0.235,"32,67,50,58,68,16,37"
V1,MAD_2000_PC,5,Spectral,3,0.3904,416.4,1.125,0.6761,0.0268,0.0378,90,0.638,"141,97,90"
V1,MAD_2000_PC,5,Spectral,4,0.2806,344.5,1.3245,0.5032,0.0629,0.0784,54,0.557,"90,97,54,87"
V1,MAD_2000_PC,5,Spectral,5,0.2355,287.6,1.3742,0.416,0.1274,0.1622,37,0.425,"54,83,67,37,87"
V1,MAD_2000_PC,5,Spectral,6,0.1979,245.3,1.3471,0.3553,0.1526,0.1965,33,0.398,"33,67,65,43,37,83"
V1,MAD_2000_PC,5,Spectral,7,0.1951,228.6,1.4103,0.2859,0.1598,0.2222,33,0.508,"65,51,35,33,43,53,48"
V1,MAD_2000_PC,8,KMeans,3,0.3479,324.8,1.2807,0.6764,0.0255,0.038,89,0.631,"98,141,89"
V1,MAD_2000_PC,8,KMeans,4,0.2445,261.4,1.4995,0.5093,0.0641,0.0833,50,0.505,"50,88,91,99"
V1,MAD_2000_PC,8,KMeans,5,0.2112,219.1,1.6138,0.4016,0.1014,0.1439,50,0.549,"91,60,64,50,63"
V1,MAD_2000_PC,8,KMeans,6,0.2016,189.4,1.6338,0.3525,0.1112,0.1874,35,0.385,"35,91,50,56,46,50"
V1,MAD_2000_PC,8,KMeans,7,0.1779,170.7,1.6906,0.285,0.1511,0.2346,33,0.508,"65,48,48,43,54,33,37"
V1,MAD_2000_PC,8,Ward,3,0.3277,304.2,1.2907,0.7424,0.0382,0.067,51,0.362,"141,136,51"
V1,MAD_2000_PC,8,Ward,4,0.2334,238.7,1.4594,0.6108,0.0591,0.1051,33,0.243,"136,108,51,33"
V1,MAD_2000_PC,8,Ward,5,0.1989,204.4,1.7095,0.4424,0.0626,0.1193,33,0.306,"74,108,51,33,62"
V1,MAD_2000_PC,8,Ward,6,0.1828,175.1,1.6493,0.3929,0.0915,0.1764,33,0.306,"108,62,51,33,41,33"
