gene_set,n_genes,protein_coding_only,n_pcs,cum_explained_var,algorithm,k,silhouette,calinski_harabasz,davies_bouldin,batch_ARI,min_cluster_size,max_cluster_size,size_balance,cluster_sizes
MAD_1000_PC,1000,True,30,0.7296,GMM,5,0.0885,32.7,2.5085,-0.0032,48,79,0.608,"61,48,79,71,69"
MAD_1000_PC,1000,True,30,0.7296,GMM,6,0.1028,34.2,2.2589,0.0,32,63,0.508,"55,58,60,32,60,63"
MAD_1000_PC,1000,True,30,0.7296,Spectral,2,0.1328,54.2,2.2524,0.0005,109,219,0.498,"109,219"
MAD_1000_PC,1000,True,30,0.7296,Spectral,3,0.1165,48.4,2.3307,-0.0031,89,128,0.695,"128,89,111"
MAD_1000_PC,1000,True,30,0.7296,Spectral,4,0.0996,40.3,2.3668,-0.004,67,99,0.677,"87,99,75,67"
MAD_1000_PC,1000,True,30,0.7296,Spectral,5,0.1001,36.0,2.2292,-0.0004,42,89,0.472,"89,42,53,80,64"
MAD_1000_PC,1000,True,30,0.7296,Spectral,6,0.098,31.9,2.2372,-0.0002,41,70,0.586,"46,70,64,41,64,43"
MAD_1000_PC,1000,True,30,0.7296,Spectral,7,0.093,29.2,2.2205,-0.0026,20,63,0.317,"39,63,46,59,60,20,41"
MAD_1000_PC,1000,True,30,0.7296,Spectral,8,0.0939,27.7,2.1486,-0.002,20,56,0.357,"44,56,20,41,31,46,56,34"
MAD_2000_PC,2000,True,10,0.5776,KMeans,2,0.1963,92.5,1.7823,-0.0019,130,198,0.657,"130,198"
MAD_2000_PC,2000,True,10,0.5776,KMeans,3,0.1591,70.9,1.9694,-0.0028,78,133,0.586,"78,133,117"
MAD_2000_PC,2000,True,10,0.5776,KMeans,4,0.1472,62.1,1.9295,-0.0041,67,104,0.644,"84,73,67,104"
MAD_2000_PC,2000,True,10,0.5776,KMeans,5,0.1436,55.7,1.8936,-0.0023,60,74,0.811,"65,65,74,60,64"
MAD_2000_PC,2000,True,10,0.5776,KMeans,6,0.1478,51.7,1.7899,-0.0026,34,71,0.479,"57,71,34,61,54,51"
MAD_2000_PC,2000,True,10,0.5776,KMeans,7,0.1463,48.2,1.745,-0.0029,32,56,0.571,"32,56,50,44,52,43,51"
MAD_2000_PC,2000,True,10,0.5776,KMeans,8,0.1439,45.5,1.6415,-0.0006,19,53,0.358,"43,53,41,19,30,42,52,48"
MAD_2000_PC,2000,True,10,0.5776,Ward,2,0.1568,67.7,1.9812,-0.005,107,221,0.484,"221,107"
MAD_2000_PC,2000,True,10,0.5776,Ward,3,0.1219,57.0,2.1754,-0.001,94,127,0.74,"107,127,94"
MAD_2000_PC,2000,True,10,0.5776,Ward,4,0.1202,49.2,2.0835,-0.003,44,127,0.346,"127,44,94,63"
MAD_2000_PC,2000,True,10,0.5776,Ward,5,0.1005,44.4,1.9921,0.0001,43,94,0.457,"94,44,84,63,43"
MAD_2000_PC,2000,True,10,0.5776,Ward,6,0.1052,42.3,1.923,0.0019,27,84,0.321,"84,44,67,63,43,27"
MAD_2000_PC,2000,True,10,0.5776,Ward,7,0.1037,39.9,1.9357,0.0032,27,67,0.403,"44,29,67,63,43,27,55"
MAD_2000_PC,2000,True,10,0.5776,Ward,8,0.1083,38.0,1.8389,0.0032,21,67,0.313,"29,63,67,21,43,27,55,23"
MAD_2000_PC,2000,True,10,0.5776,GMM,2,0.1264,49.4,2.4287,-0.0025,127,201,0.632,"201,127"
MAD_2000_PC,2000,True,10,0.5776,GMM,3,0.0883,38.2,2.4756,-0.0031,68,182,0.374,"68,78,182"
MAD_2000_PC,2000,True,10,0.5776,GMM,4,0.0973,39.1,2.218,-0.0041,50,129,0.388,"74,50,129,75"
MAD_2000_PC,2000,True,10,0.5776,GMM,5,0.0849,37.6,2.173,-0.0028,40,103,0.388,"74,40,103,53,58"
MAD_2000_PC,2000,True,10,0.5776,GMM,6,0.1157,40.8,1.9162,-0.0008,22,79,0.278,"22,65,79,24,70,68"
MAD_2000_PC,2000,True,10,0.5776,GMM,7,0.1035,32.9,1.9992,-0.0019,4,74,0.054,"66,44,49,74,56,35,4"
MAD_2000_PC,2000,True,10,0.5776,GMM,8,0.0774,32.0,2.0296,-0.0031,4,61,0.066,"31,37,49,61,37,54,55,4"
MAD_2000_PC,2000,True,10,0.5776,Spectral,2,0.1969,89.5,1.7539,-0.0042,114,214,0.533,"114,214"
MAD_2000_PC,2000,True,10,0.5776,Spectral,3,0.1572,67.8,1.9571,-0.0018,72,150,0.48,"72,150,106"
MAD_2000_PC,2000,True,10,0.5776,Spectral,4,0.1434,59.2,1.8916,-0.0031,54,128,0.422,"54,84,128,62"
MAD_2000_PC,2000,True,10,0.5776,Spectral,5,0.1332,49.4,1.856,-0.0017,43,85,0.506,"43,85,48,76,76"
MAD_2000_PC,2000,True,10,0.5776,Spectral,6,0.1311,47.2,1.9262,-0.0018,41,69,0.594,"69,62,48,41,58,50"
MAD_2000_PC,2000,True,10,0.5776,Spectral,7,0.1284,42.8,1.8666,-0.0003,32,61,0.525,"42,47,52,32,44,61,50"
MAD_2000_PC,2000,True,10,0.5776,Spectral,8,0.1343,41.6,1.7589,-0.002,28,61,0.459,"28,45,45,61,40,42,30,37"
MAD_2000_PC,2000,True,15,0.638,KMeans,2,0.1776,81.5,1.9111,-0.0019,130,198,0.657,"198,130"
MAD_2000_PC,2000,True,15,0.638,KMeans,3,0.1402,61.8,2.1338,-0.003,80,132,0.606,"116,80,132"
MAD_2000_PC,2000,True,15,0.638,KMeans,4,0.1317,53.5,2.0828,-0.0044,69,115,0.6,"69,75,115,69"
MAD_2000_PC,2000,True,15,0.638,KMeans,5,0.1276,47.6,2.06,-0.0019,60,70,0.857,"70,60,62,70,66"
MAD_2000_PC,2000,True,15,0.638,KMeans,6,0.1296,43.8,1.9676,-0.0018,37,71,0.521,"51,61,47,61,37,71"
MAD_2000_PC,2000,True,15,0.638,KMeans,7,0.1247,40.2,1.9243,-0.0012,34,55,0.618,"46,54,34,49,50,55,40"
MAD_2000_PC,2000,True,15,0.638,KMeans,8,0.1249,37.7,1.9291,0.0007,23,53,0.434,"43,46,31,23,49,44,53,39"
MAD_2000_PC,2000,True,15,0.638,Ward,2,0.1483,63.7,2.1426,-0.0037,124,204,0.608,"124,204"
MAD_2000_PC,2000,True,15,0.638,Ward,3,0.1248,48.1,2.0144,-0.0041,57,204,0.279,"204,57,67"
MAD_2000_PC,2000,True,15,0.638,Ward,4,0.1007,43.5,2.2623,0.0051,57,131,0.435,"131,57,67,73"
MAD_2000_PC,2000,True,15,0.638,Ward,5,0.1002,39.8,2.2687,-0.0001,39,92,0.424,"92,57,67,73,39"
MAD_2000_PC,2000,True,15,0.638,Ward,6,0.0998,36.2,2.1794,-0.0018,39,73,0.534,"57,73,51,41,39,67"
MAD_2000_PC,2000,True,15,0.638,Ward,7,0.0972,33.8,2.1046,0.0,22,73,0.301,"73,41,51,35,39,67,22"
MAD_2000_PC,2000,True,15,0.638,Ward,8,0.107,31.9,1.9198,0.0002,4,69,0.058,"69,41,51,35,39,67,22,4"
MAD_2000_PC,2000,True,15,0.638,GMM,2,0.1156,40.9,2.5916,0.0005,109,219,0.498,"109,219"
MAD_2000_PC,2000,True,15,0.638,GMM,3,0.0798,34.9,2.5754,-0.0037,55,162,0.34,"111,162,55"
MAD_2000_PC,2000,True,15,0.638,GMM,4,0.0536,29.5,2.7881,-0.0021,49,131,0.374,"131,49,76,72"
MAD_2000_PC,2000,True,15,0.638,GMM,5,0.0996,38.0,2.1589,-0.0049,37,84,0.44,"84,73,60,74,37"
MAD_2000_PC,2000,True,15,0.638,GMM,6,0.1073,38.4,2.0864,-0.0025,29,77,0.377,"53,29,63,77,62,44"
MAD_2000_PC,2000,True,15,0.638,Spectral,2,0.1757,78.9,1.9108,-0.0018,121,207,0.585,"207,121"
MAD_2000_PC,2000,True,15,0.638,Spectral,3,0.1403,59.9,2.1038,-0.0032,73,146,0.5,"73,109,146"
MAD_2000_PC,2000,True,15,0.638,Spectral,4,0.1254,51.5,2.1261,-0.0031,69,108,0.639,"69,70,108,81"
